-- SG    KRG    KROG   PCOG
SGOF
0.88979592 0.82206955 0.00000000 300.00000000
0.89897959 0.83644958 0.00000000 300.00000000
0.90816327 0.85091248 0.00000000 300.00000000
0.91734694 0.86545780 0.00000000 300.00000000
0.92653061 0.88008506 0.00000000 300.00000000
0.93571429 0.89479382 0.00000000 300.00000000
0.94489796 0.90958361 0.00000000 300.00000000
0.95408163 0.92445401 0.00000000 300.00000000
0.96326531 0.93940457 0.00000000 300.00000000
0.97244898 0.95443486 0.00000000 300.00000000
0.98163265 0.96954448 0.00000000 300.00000000
0.99081633 0.98473299 0.00000000 300.00000000
1.00000000 1.00000000 0.00000000 300.00000000
/
0.00000000 0.00000000 1.00000000 0.03870628
0.10000000 0.00000000 0.83448377 0.04111265
0.10918367 0.00103077 0.81978950 0.04135684
0.11836735 0.00291545 0.80518249 0.04160543
0.12755102 0.00535603 0.79066330 0.04185855
0.13673469 0.00824614 0.77623243 0.04211636
0.14591837 0.01152434 0.76189045 0.04237899
0.15510204 0.01514913 0.74763790 0.04264659
0.16428571 0.01909009 0.73347535 0.04291933
0.17346939 0.02332362 0.71940337 0.04319737
0.18265306 0.02783073 0.70542255 0.04348088
0.19183673 0.03259574 0.69153350 0.04377005
0.20102041 0.03760537 0.67773681 0.04406506
0.21020408 0.04284822 0.66403311 0.04436613
0.21938776 0.04831432 0.65042305 0.04467344
0.22857143 0.05399492 0.63690725 0.04498724
0.23775510 0.05988220 0.62348640 0.04530774
0.24693878 0.06596915 0.61016116 0.04563519
0.25612245 0.07224940 0.59693223 0.04596985
0.26530612 0.07871720 0.58380031 0.04631198
0.27448980 0.08536725 0.57076613 0.04666186
0.28367347 0.09219468 0.55783041 0.04701979
0.29285714 0.09919501 0.54499393 0.04738609
0.30204082 0.10636406 0.53225745 0.04776108
0.31122449 0.11369795 0.51962175 0.04814512
0.32040816 0.12119306 0.50708767 0.04853858
0.32959184 0.12884599 0.49465601 0.04894184
0.33877551 0.13665355 0.48232764 0.04935533
0.34795918 0.14461273 0.47010343 0.04977947
0.35714286 0.15272071 0.45798427 0.05021474
0.36632653 0.16097480 0.44597108 0.05066163
0.37551020 0.16937245 0.43406480 0.05112067
0.38469388 0.17791126 0.42226641 0.05159242
0.39387755 0.18658892 0.41057690 0.05207747
0.40306122 0.19540326 0.39899728 0.05257647
0.41224490 0.20435217 0.38752863 0.05309009
0.42142857 0.21343368 0.37617201 0.05361907
0.43061224 0.22264587 0.36492855 0.05416418
0.43979592 0.23198691 0.35379940 0.05472625
0.44897959 0.24145504 0.34278574 0.05530620
0.45816327 0.25104860 0.33188879 0.05590499
0.46734694 0.26076594 0.32110983 0.05652365
0.47653061 0.27060553 0.31045015 0.05716332
0.48571429 0.28056586 0.29991111 0.05782521
0.49489796 0.29064548 0.28949410 0.05851064
0.50408163 0.30084299 0.27920058 0.05922103
0.51326531 0.31115706 0.26903203 0.05995795
0.52244898 0.32158637 0.25899002 0.06072307
0.53163265 0.33212967 0.24907616 0.06151826
0.54081633 0.34278574 0.23929212 0.06234552
0.55000000 0.35355339 0.22963966 0.06320709
0.55918367 0.36443149 0.22012060 0.06410539
0.56836735 0.37541892 0.21073682 0.06504311
0.57755102 0.38651460 0.20149032 0.06602322
0.58673469 0.39771749 0.19238315 0.06704902
0.59591837 0.40902658 0.18341748 0.06812416
0.60510204 0.42044086 0.17459559 0.06925274
0.61428571 0.43195940 0.16591985 0.07043934
0.62346939 0.44358124 0.15739277 0.07168910
0.63265306 0.45530548 0.14901700 0.07300784
0.64183673 0.46713123 0.14079530 0.07440213
0.65102041 0.47905763 0.13273063 0.07587948
0.66020408 0.49108384 0.12482611 0.07744849
0.66938776 0.50320902 0.11708504 0.07911903
0.67857143 0.51543240 0.10951096 0.08090255
